d1_monto,n,cum_n,percent,cum_p
170000,1,1,0.031,0.031
181225,1,2,0.031,0.062
201361,1,3,0.031,0.094
258343,1,4,0.031,0.125
259759,1,5,0.031,0.156
300000,1,6,0.031,0.188
300395,1,7,0.031,0.219
318000,1,8,0.031,0.25
320000,1,9,0.031,0.281
320421,1,10,0.031,0.312
330000,1,11,0.031,0.344
380000,1,12,0.031,0.375
380500,1,13,0.031,0.406
400000,1,14,0.031,0.438
402722,1,15,0.031,0.469
450592,2,17,0.062,0.531
500658,1,18,0.031,0.562
503403,2,20,0.062,0.625
526559,1,21,0.031,0.656
550000,1,22,0.031,0.688
553743,1,23,0.031,0.719
555000,1,24,0.031,0.75
560000,1,25,0.031,0.781
600000,2,27,0.062,0.844
805444,1,28,0.031,0.875
851119,1,29,0.031,0.906
906125,1,30,0.031,0.938
1201579,1,31,0.031,0.969
1230000,1,32,0.031,1
